prod,segmento,volume,volume_pct,fpd_rate
CMV,Sem pagamento 90d,1050399,0.8024597891172781,0.2531085806441171
CMV,Teve atraso 90d,305552,0.23342862425074906,0.24453120909043305
CMV,Sem recarga 90d,59673,0.0455876128937626,0.2429574514437015
CMV,Atraso recorrente 90d,228382,0.17447405372452013,0.20491544867809197
DTH,Sem pagamento 90d,1312,0.6099488609948861,0.6234756097560976
DTH,Teve atraso 90d,970,0.4509530450953045,0.465979381443299
DTH,Atraso recorrente 90d,661,0.30729893072989306,0.4114977307110439
DTH,Sem recarga 90d,66,0.030683403068340307,0.25757575757575757
NET,Sem pagamento 90d,6001,0.5975306183411331,0.30661556407265456
NET,Teve atraso 90d,4306,0.4287563477048691,0.2563864375290293
NET,Sem recarga 90d,857,0.08533306780842377,0.22170361726954493
NET,Atraso recorrente 90d,2807,0.27949815792093996,0.21767011043819023
