variavel_1,variavel_2,spearman,pearson,abs_spearman,diff_sp_pe,gini_var1,gini_var2,iv_var1,iv_var2,dominio_var1,dominio_var2,recomendacao_manter,recomendacao_remover,gini_mantido,gini_perdido,mesmo_dominio
pag_flag_sem_pagamento_l30d,pag_qtd_faturas_l30d,-0.9938555034950651,-0.8277805335048026,0.9938555034950651,0.1660749699902625,10.129958508753667,10.034417752915648,0.0,0.010131182424799722,pag_,pag_,pag_flag_sem_pagamento_l30d,pag_qtd_faturas_l30d,10.129958508753667,10.034417752915648,True
pag_qtd_faturas_l60d,pag_flag_sem_pagamento_l60d,-0.9877014915650842,-0.8540530310603076,0.9877014915650842,0.13364846050477663,10.738819262641686,10.337807345166405,0.010754882372122203,0.0,pag_,pag_,pag_qtd_faturas_l60d,pag_flag_sem_pagamento_l60d,10.738819262641686,10.337807345166405,True
pag_qtd_faturas_l90d,pag_flag_sem_pagamento_l90d,-0.9852767821356174,-0.8669136475092438,0.9852767821356174,0.1183631346263736,10.755407159094199,10.067414330341663,0.011185518336629821,0.0,pag_,pag_,pag_qtd_faturas_l90d,pag_flag_sem_pagamento_l90d,10.755407159094199,10.067414330341663,True
pag_qtd_faturas_l90d,pag_qtd_faturas_l60d,0.9755789856974075,0.9567850675794851,0.9755789856974075,0.018793918117922415,10.755407159094199,10.738819262641686,0.011185518336629821,0.010754882372122203,pag_,pag_,pag_qtd_faturas_l90d,pag_qtd_faturas_l60d,10.755407159094199,10.738819262641686,True
pag_flag_sem_pagamento_l60d,pag_flag_sem_pagamento_l90d,0.9710007867775504,0.971000786746153,0.9710007867775504,3.1397440203306815e-11,10.337807345166405,10.067414330341663,0.0,0.0,pag_,pag_,pag_flag_sem_pagamento_l60d,pag_flag_sem_pagamento_l90d,10.337807345166405,10.067414330341663,True
pag_qtd_faturas_l90d,pag_flag_sem_pagamento_l60d,-0.967811830883253,-0.8668387916873793,0.967811830883253,0.10097303919587364,10.755407159094199,10.337807345166405,0.011185518336629821,0.0,pag_,pag_,pag_qtd_faturas_l90d,pag_flag_sem_pagamento_l60d,10.755407159094199,10.337807345166405,True
pag_qtd_faturas_l60d,pag_flag_sem_pagamento_l90d,-0.959058925393625,-0.8292861650824997,0.959058925393625,0.12977276031112528,10.738819262641686,10.067414330341663,0.010754882372122203,0.0,pag_,pag_,pag_qtd_faturas_l60d,pag_flag_sem_pagamento_l90d,10.738819262641686,10.067414330341663,True
pag_qtd_faturas_l90d,pag_qtd_faturas_geral,0.9517513508163402,0.905098340352983,0.9517513508163402,0.046653010463357236,10.755407159094199,10.724862104778987,0.011185518336629821,0.06706455464296038,pag_,pag_,pag_qtd_faturas_l90d,pag_qtd_faturas_geral,10.755407159094199,10.724862104778987,True
pag_qtd_faturas_geral,pag_flag_sem_pagamento_l90d,-0.948779293128223,-0.8507315751987903,0.948779293128223,0.09804771792943268,10.724862104778987,10.067414330341663,0.06706455464296038,0.0,pag_,pag_,pag_qtd_faturas_geral,pag_flag_sem_pagamento_l90d,10.724862104778987,10.067414330341663,True
pag_qtd_faturas_l60d,pag_qtd_faturas_geral,0.9295590350734185,0.860908001494522,0.9295590350734185,0.06865103357889657,10.738819262641686,10.724862104778987,0.010754882372122203,0.06706455464296038,pag_,pag_,pag_qtd_faturas_l60d,pag_qtd_faturas_geral,10.738819262641686,10.724862104778987,True
pag_qtd_faturas_geral,pag_flag_sem_pagamento_l60d,-0.9285005130267314,-0.8422305481022915,0.9285005130267314,0.08626996492443995,10.724862104778987,10.337807345166405,0.06706455464296038,0.0,pag_,pag_,pag_qtd_faturas_geral,pag_flag_sem_pagamento_l60d,10.724862104778987,10.337807345166405,True
pag_qtd_faturas_l60d,pag_qtd_faturas_l30d,0.9117098496436236,0.878759680964342,0.9117098496436236,0.03295016867928158,10.738819262641686,10.034417752915648,0.010754882372122203,0.010131182424799722,pag_,pag_,pag_qtd_faturas_l60d,pag_qtd_faturas_l30d,10.738819262641686,10.034417752915648,True
pag_qtd_faturas_l60d,pag_flag_sem_pagamento_l30d,-0.9079452131253679,-0.8201190358824627,0.9079452131253679,0.0878261772429052,10.738819262641686,10.129958508753667,0.010754882372122203,0.0,pag_,pag_,pag_qtd_faturas_l60d,pag_flag_sem_pagamento_l30d,10.738819262641686,10.129958508753667,True
pag_qtd_faturas_l90d,pag_qtd_faturas_l30d,0.8947888783066392,0.8517360911890423,0.8947888783066392,0.04305278711759697,10.755407159094199,10.034417752915648,0.011185518336629821,0.010131182424799722,pag_,pag_,pag_qtd_faturas_l90d,pag_qtd_faturas_l30d,10.755407159094199,10.034417752915648,True
pag_flag_sem_pagamento_l60d,pag_flag_sem_pagamento_l30d,0.8934913476139721,0.8934913475566313,0.8934913476139721,5.7340798775840085e-11,10.337807345166405,10.129958508753667,0.0,0.0,pag_,pag_,pag_flag_sem_pagamento_l60d,pag_flag_sem_pagamento_l30d,10.337807345166405,10.129958508753667,True
pag_qtd_faturas_l90d,pag_flag_sem_pagamento_l30d,-0.8914184141376248,-0.8297103149305409,0.8914184141376248,0.061708099207083866,10.755407159094199,10.129958508753667,0.011185518336629821,0.0,pag_,pag_,pag_qtd_faturas_l90d,pag_flag_sem_pagamento_l30d,10.755407159094199,10.129958508753667,True
pag_flag_sem_pagamento_l60d,pag_qtd_faturas_l30d,-0.8880012931471388,-0.7396147443622259,0.8880012931471388,0.14838654878491297,10.337807345166405,10.034417752915648,0.0,0.010131182424799722,pag_,pag_,pag_flag_sem_pagamento_l60d,pag_qtd_faturas_l30d,10.337807345166405,10.034417752915648,True
